fit,income_group,target_pop,hs_constraints,vaccine_doses,vaccine,max_coverage,age_groups_covered,vacc_start,dt,repetition,seeding_cases,vacc_per_week,t_d3,vfr,vfr2,vfr_time1,vfr_time2,vfr2_time1,vfr2_time2,mu_ab_infection,max_ab,strategy,hosp_scal_vfr,ICU_scal_vfr,hosp_scal_vfr2,ICU_scal_vfr2,rt_out_filename,lambda_external_filename,omicron_vaccine,end_date,dose_4_fold_increase,age_groups_covered_d3,age_groups_covered_d4,age_groups_covered_d5,age_groups_covered_d6,age_groups_covered_d7,age_groups_covered_d8,age_groups_covered_d9,t_d4,t_d5,t_d6,t_d7,t_d8,t_d9,scenario,name,mu_ab_d1,mu_ab_d2,k,dose_3_fold_increase,hl_s,hl_l,period_s,period_l,ab_50,ab_50_severe,std10
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,5.6,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,same_doses,0.3,0.3,0.3,0.3,rt_out_lmic,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,1,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,5.6,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,same_doses,0.3,0.3,0.3,0.3,rt_out_lmic,lambda_external_lmic,1,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,2,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,5.6,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,same_doses,0.3,0.3,1,1,rt_out_lmic_newvar,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,3,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,5.6,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,two_doses_only,0.3,0.3,0.3,0.3,rt_out_lmic,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,4,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,5.6,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,two_doses_only,0.3,0.3,0.3,0.3,rt_out_lmic,lambda_external_lmic,1,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,5,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,5.6,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,two_doses_only,0.3,0.3,1,1,rt_out_lmic_newvar,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,6,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,10,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,same_doses,0.3,0.3,0.3,0.3,rt_out_lmic_newvar,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,7,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,10,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,same_doses,0.3,0.3,1,1,rt_out_lmic_newvar,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,8,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,10,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,two_doses_only,0.3,0.3,0.3,0.3,rt_out_lmic_newvar,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,9,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
UKHSA_v3_20220301_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_SD1,LMIC,1000000,Present,2,Oxford-AstraZeneca,0.8,9,4/1/2021,0.25,1,10,0.02,365,5.6,10,11/27/2021,12/31/2021,7/1/2022,7/31/2022,1.2,5,two_doses_only,0.3,0.3,1,1,rt_out_lmic_newvar,lambda_external_lmic,0,12/31/2023,1,9,9,9,9,9,9,9,365,365,366,365,365,365,10,rq2_lmic_newvariant,0.0781084197764376,0.3028401116736785,3.020090265802448,1.6658276645851544,33.706789858075396,592.5081919289975,80.32407810386813,364.8363076110944,0.0679214462534934,0.016784660243249375,0.44
